Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,isolate
SRR15884228,AMPLICON,416,11375874,PRJNA763023,SAMN21421294,Metagenome or environmental,5902464,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175380,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_9,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_9,SRP336949,Young_9
SRR15884229,AMPLICON,396,9674618,PRJNA763023,SAMN21421293,Metagenome or environmental,6112972,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175379,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_99,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_99,SRP336949,Young_99
SRR15884230,AMPLICON,408,14729290,PRJNA763023,SAMN21421292,Metagenome or environmental,9130151,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175378,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_98,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_98,SRP336949,Young_98
SRR15884231,AMPLICON,402,15776108,PRJNA763023,SAMN21421291,Metagenome or environmental,10113889,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175377,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_97,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_97,SRP336949,Young_97
SRR15884232,AMPLICON,401,10092132,PRJNA763023,SAMN21421290,Metagenome or environmental,6259995,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175376,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_96,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_96,SRP336949,Young_96
SRR15884233,AMPLICON,407,6607922,PRJNA763023,SAMN21421289,Metagenome or environmental,3606955,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175375,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_95,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_95,SRP336949,Young_95
SRR15884234,AMPLICON,405,13649682,PRJNA763023,SAMN21421288,Metagenome or environmental,8419479,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175374,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_94,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_94,SRP336949,Young_94
SRR15884235,AMPLICON,400,15440111,PRJNA763023,SAMN21421287,Metagenome or environmental,9457588,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175373,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_93,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_93,SRP336949,Young_93
SRR15884236,AMPLICON,409,23191507,PRJNA763023,SAMN21420639,Metagenome or environmental,7980703,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175372,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,oControl_166,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,oControl_166,SRP336949,oControl_166
SRR15884237,AMPLICON,401,17074762,PRJNA763023,SAMN21421286,Metagenome or environmental,10512050,LC-BIO TECHNOLOGY CO,2018-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12175371,China,Asia,China:Shanghai,Homo sapiens,Illumina NovaSeq 6000,intestinal fecal,31 N 121 E,Young_92,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-10-24T00:00:00Z,2021-09-14T08:41:00Z,1,Young_92,SRP336949,Young_92
